en_Tienda;edad;articulo;monto;region;;;;;;;;;;;
fisica;42;2;937.62;san jose;;;;;;;;;;;
virtual;43;6;1416.7;puntarenas;;;;;;;;;;;
fisica;28;4;97.31;cartago;;;;;;;;;;;
virtual;21;4;1431.4;san jose;;;;;;;;;;;
virtual;30;7;514.6;puntarenas;;;;;;;;;;;
fisica;53;8;1085;san jose;;;;;;;;;;;
fisica;31;6;377.83;cartago;;;;;;;;;;;
virtual;33;7;890.63;limon;;;;;;;;;;;
fisica;36;3;1528;puntarenas;;;;;;;;;;;
fisica;34;3;1040.8;limon;;;;;;;;;;;
fisica;56;3;807.78;puntarenas;;;;;;;;;;;
fisica;37;4;1319.9;puntarenas;;;;;;;;;;;
fisica;72;8;143.54;cartago;;;;;;;;;;;
virtual;36;3;658.4;limon;;;;;;;;;;;
fisica;39;1;497.33;cartago;;;;;;;;;;;
fisica;64;6;87.61;cartago;;;;;;;;;;;
virtual;44;7;1346;puntarenas;;;;;;;;;;;
virtual;28;6;143.26;puntarenas;;;;;;;;;;;
virtual;39;6;1090.7;puntarenas;;;;;;;;;;;
fisica;31;3;13.83;cartago;;;;;;;;;;;
virtual;27;1;385.71;limon;;;;;;;;;;;
fisica;52;2;1423;puntarenas;;;;;;;;;;;
virtual;63;6;227.45;limon;;;;;;;;;;;
fisica;27;4;2851.3;puntarenas;;;;;;;;;;;
fisica;69;5;83.12;cartago;;;;;;;;;;;
fisica;46;2;483.55;cartago;;;;;;;;;;;
virtual;32;4;1075;puntarenas;;;;;;;;;;;
fisica;47;1;2294.6;puntarenas;;;;;;;;;;;
fisica;49;2;2318.6;puntarenas;;;;;;;;;;;
virtual;73;1;484.74;san jose;;;;;;;;;;;
fisica;23;5;542.84;puntarenas;;;;;;;;;;;
virtual;46;1;1243;san jose;;;;;;;;;;;
fisica;34;7;758.79;san jose;;;;;;;;;;;
virtual;20;4;1090.5;puntarenas;;;;;;;;;;;
virtual;36;6;658.17;san jose;;;;;;;;;;;
virtual;34;6;414.22;san jose;;;;;;;;;;;
virtual;38;6;555.77;puntarenas;;;;;;;;;;;
virtual;37;2;1157.1;puntarenas;;;;;;;;;;;
fisica;34;7;850.26;limon;;;;;;;;;;;
virtual;49;6;277.02;limon;;;;;;;;;;;
fisica;45;3;220.23;cartago;;;;;;;;;;;
fisica;59;6;2914.3;puntarenas;;;;;;;;;;;
virtual;58;2;611.58;limon;;;;;;;;;;;
virtual;34;4;397.38;puntarenas;;;;;;;;;;;
fisica;30;6;363.88;cartago;;;;;;;;;;;
fisica;46;2;124.11;cartago;;;;;;;;;;;
fisica;18;6;714.21;puntarenas;;;;;;;;;;;
fisica;34;3;176.78;cartago;;;;;;;;;;;
virtual;42;5;1928.6;puntarenas;;;;;;;;;;;
fisica;19;8;2338.2;puntarenas;;;;;;;;;;;
fisica;52;6;181.2;puntarenas;;;;;;;;;;;
virtual;34;3;1344.1;puntarenas;;;;;;;;;;;
virtual;39;8;665.3;san jose;;;;;;;;;;;
fisica;44;7;658.44;san jose;;;;;;;;;;;
fisica;46;3;307.04;cartago;;;;;;;;;;;
fisica;57;6;316.31;san jose;;;;;;;;;;;
virtual;55;6;1826.1;puntarenas;;;;;;;;;;;
virtual;25;2;915.21;san jose;;;;;;;;;;;
virtual;31;6;433.19;puntarenas;;;;;;;;;;;
fisica;41;7;2766.5;limon;;;;;;;;;;;
virtual;35;7;1068;san jose;;;;;;;;;;;
virtual;39;2;585.36;limon;;;;;;;;;;;
fisica;25;8;561.22;limon;;;;;;;;;;;
virtual;53;8;1693.5;puntarenas;;;;;;;;;;;
fisica;74;5;361.46;cartago;;;;;;;;;;;
virtual;20;8;287.49;puntarenas;;;;;;;;;;;
virtual;40;4;778.92;san jose;;;;;;;;;;;
fisica;84;7;11.52;cartago;;;;;;;;;;;
virtual;45;1;959.29;san jose;;;;;;;;;;;
fisica;29;2;483.71;cartago;;;;;;;;;;;
virtual;30;7;938.64;san jose;;;;;;;;;;;
fisica;35;7;411.92;cartago;;;;;;;;;;;
virtual;26;3;1403.3;san jose;;;;;;;;;;;
virtual;40;3;420.28;puntarenas;;;;;;;;;;;
fisica;22;6;1439.4;limon;;;;;;;;;;;
virtual;22;6;1364.9;san jose;;;;;;;;;;;
virtual;61;5;137.64;limon;;;;;;;;;;;
fisica;20;5;851.72;limon;;;;;;;;;;;
virtual;35;2;1595.4;puntarenas;;;;;;;;;;;
virtual;49;6;975.6;san jose;;;;;;;;;;;
fisica;57;7;965.08;puntarenas;;;;;;;;;;;
virtual;69;6;119.84;san jose;;;;;;;;;;;
virtual;47;4;519.58;san jose;;;;;;;;;;;
virtual;46;4;1525.7;puntarenas;;;;;;;;;;;
fisica;29;5;91.45;cartago;;;;;;;;;;;
fisica;46;2;178.28;limon;;;;;;;;;;;
fisica;48;3;51.4;san jose;;;;;;;;;;;
virtual;46;2;1466.9;puntarenas;;;;;;;;;;;
virtual;61;4;296.56;limon;;;;;;;;;;;
fisica;64;6;8.04;cartago;;;;;;;;;;;
fisica;52;1;2365.3;puntarenas;;;;;;;;;;;
virtual;39;3;1301.5;puntarenas;;;;;;;;;;;
fisica;55;2;1913.8;limon;;;;;;;;;;;
fisica;31;2;78.77;cartago;;;;;;;;;;;
virtual;44;8;855.49;limon;;;;;;;;;;;
fisica;21;3;2094.1;puntarenas;;;;;;;;;;;
fisica;31;2;358.44;cartago;;;;;;;;;;;
virtual;52;4;182.66;limon;;;;;;;;;;;
fisica;38;6;2072.3;limon;;;;;;;;;;;
fisica;32;6;512.13;puntarenas;;;;;;;;;;;
virtual;54;7;1313.8;puntarenas;;;;;;;;;;;
fisica;44;6;474.44;cartago;;;;;;;;;;;
fisica;18;6;1543.3;puntarenas;;;;;;;;;;;
fisica;53;6;158.23;puntarenas;;;;;;;;;;;
virtual;63;5;867.53;limon;;;;;;;;;;;
fisica;63;4;474.92;cartago;;;;;;;;;;;
fisica;49;3;1040.5;puntarenas;;;;;;;;;;;
fisica;34;6;1534.5;puntarenas;;;;;;;;;;;
fisica;37;4;1480.5;limon;;;;;;;;;;;
fisica;39;4;129.33;cartago;;;;;;;;;;;
virtual;46;2;1595.5;puntarenas;;;;;;;;;;;
virtual;56;7;424.65;limon;;;;;;;;;;;
fisica;56;4;476.01;san jose;;;;;;;;;;;
fisica;41;6;119.87;cartago;;;;;;;;;;;
virtual;74;4;380.46;limon;;;;;;;;;;;
virtual;47;5;1528.3;puntarenas;;;;;;;;;;;
virtual;48;7;354.38;san jose;;;;;;;;;;;
virtual;57;6;427.88;limon;;;;;;;;;;;
fisica;52;6;1473.3;puntarenas;;;;;;;;;;;
virtual;35;2;1499.5;puntarenas;;;;;;;;;;;
virtual;68;6;859.63;san jose;;;;;;;;;;;
fisica;25;8;1700.5;puntarenas;;;;;;;;;;;
fisica;63;1;303.14;cartago;;;;;;;;;;;
fisica;65;5;121.3;cartago;;;;;;;;;;;
fisica;53;3;1099.9;limon;;;;;;;;;;;
fisica;27;3;716.18;puntarenas;;;;;;;;;;;
fisica;45;2;493.1;puntarenas;;;;;;;;;;;
virtual;19;3;1490.7;san jose;;;;;;;;;;;
fisica;45;6;346.57;cartago;;;;;;;;;;;
virtual;38;4;922.34;limon;;;;;;;;;;;
fisica;81;3;263.61;cartago;;;;;;;;;;;
virtual;27;1;1876.1;puntarenas;;;;;;;;;;;
virtual;41;7;146.07;limon;;;;;;;;;;;
virtual;40;2;65.61;san jose;;;;;;;;;;;
fisica;56;8;394.98;cartago;;;;;;;;;;;
fisica;34;5;318.73;cartago;;;;;;;;;;;
virtual;44;7;799.22;puntarenas;;;;;;;;;;;
fisica;57;7;407.01;cartago;;;;;;;;;;;
virtual;19;7;406.87;puntarenas;;;;;;;;;;;
virtual;38;3;85.03;san jose;;;;;;;;;;;
fisica;33;7;977.49;san jose;;;;;;;;;;;
fisica;81;4;300.92;cartago;;;;;;;;;;;
fisica;74;7;173;cartago;;;;;;;;;;;
fisica;51;7;2542.6;puntarenas;;;;;;;;;;;
fisica;21;6;706.93;puntarenas;;;;;;;;;;;
fisica;48;4;723.12;san jose;;;;;;;;;;;
fisica;82;7;162.73;cartago;;;;;;;;;;;
virtual;53;5;1611;san jose;;;;;;;;;;;
fisica;44;5;198.3;cartago;;;;;;;;;;;
fisica;54;5;341.03;cartago;;;;;;;;;;;
fisica;28;4;1750.6;puntarenas;;;;;;;;;;;
fisica;52;2;839.5;limon;;;;;;;;;;;
virtual;61;7;413.76;san jose;;;;;;;;;;;
virtual;57;8;530.08;limon;;;;;;;;;;;
fisica;67;4;435.31;cartago;;;;;;;;;;;
virtual;26;5;828.08;limon;;;;;;;;;;;
fisica;82;8;480.23;cartago;;;;;;;;;;;
fisica;45;3;103.43;cartago;;;;;;;;;;;
virtual;57;6;312.17;san jose;;;;;;;;;;;
virtual;23;2;1658.7;puntarenas;;;;;;;;;;;
fisica;64;4;10.16;cartago;;;;;;;;;;;
fisica;83;2;296.49;cartago;;;;;;;;;;;
fisica;31;3;1496.4;limon;;;;;;;;;;;
virtual;43;4;755.59;san jose;;;;;;;;;;;
fisica;68;5;230.11;cartago;;;;;;;;;;;
virtual;45;7;1741.8;san jose;;;;;;;;;;;
fisica;50;8;2789.9;limon;;;;;;;;;;;
fisica;29;8;364.8;cartago;;;;;;;;;;;
virtual;63;8;502.61;limon;;;;;;;;;;;
fisica;73;2;312.03;cartago;;;;;;;;;;;
virtual;27;8;209.06;limon;;;;;;;;;;;
virtual;45;4;328.96;puntarenas;;;;;;;;;;;
fisica;43;8;22.98;cartago;;;;;;;;;;;
fisica;51;7;96.33;cartago;;;;;;;;;;;
fisica;35;7;221.65;cartago;;;;;;;;;;;
virtual;71;4;894.57;limon;;;;;;;;;;;
virtual;39;5;280.92;limon;;;;;;;;;;;
virtual;71;4;619.41;san jose;;;;;;;;;;;
fisica;58;6;1473.2;puntarenas;;;;;;;;;;;
fisica;83;3;182.19;cartago;;;;;;;;;;;
fisica;54;2;300;cartago;;;;;;;;;;;
fisica;29;8;455.4;cartago;;;;;;;;;;;
virtual;58;6;173.65;san jose;;;;;;;;;;;
fisica;40;6;795.18;san jose;;;;;;;;;;;
virtual;32;8;580.2;san jose;;;;;;;;;;;
virtual;42;1;1343.6;san jose;;;;;;;;;;;
virtual;41;5;817.65;san jose;;;;;;;;;;;
fisica;19;4;1163.8;san jose;;;;;;;;;;;
fisica;39;5;182.61;cartago;;;;;;;;;;;
virtual;29;7;728.85;puntarenas;;;;;;;;;;;
fisica;47;3;952.42;puntarenas;;;;;;;;;;;
virtual;33;2;748.29;puntarenas;;;;;;;;;;;
virtual;35;3;481.67;limon;;;;;;;;;;;
virtual;19;6;1423.4;puntarenas;;;;;;;;;;;
virtual;61;6;724.35;limon;;;;;;;;;;;
fisica;22;2;496.96;puntarenas;;;;;;;;;;;
fisica;41;5;679.56;limon;;;;;;;;;;;
fisica;43;4;99.78;cartago;;;;;;;;;;;
fisica;56;2;64.25;cartago;;;;;;;;;;;
virtual;51;5;886.59;puntarenas;;;;;;;;;;;
virtual;42;7;283.29;puntarenas;;;;;;;;;;;
fisica;44;5;128.99;cartago;;;;;;;;;;;
virtual;21;2;1327.4;san jose;;;;;;;;;;;
fisica;40;4;189.95;puntarenas;;;;;;;;;;;
fisica;28;3;2712.8;puntarenas;;;;;;;;;;;
virtual;50;6;820.96;san jose;;;;;;;;;;;
virtual;70;4;260.3;san jose;;;;;;;;;;;
fisica;53;7;21.26;cartago;;;;;;;;;;;
virtual;26;1;414.09;puntarenas;;;;;;;;;;;
virtual;41;6;451.59;puntarenas;;;;;;;;;;;
fisica;57;4;496.77;puntarenas;;;;;;;;;;;
virtual;34;6;400.43;puntarenas;;;;;;;;;;;
fisica;29;6;994.08;san jose;;;;;;;;;;;
virtual;55;2;716.34;limon;;;;;;;;;;;
virtual;42;1;1447.9;san jose;;;;;;;;;;;
fisica;41;5;158.28;cartago;;;;;;;;;;;
fisica;53;2;1810.7;puntarenas;;;;;;;;;;;
virtual;46;5;1701.5;puntarenas;;;;;;;;;;;
virtual;40;5;407.9;puntarenas;;;;;;;;;;;
virtual;69;3;853.6;limon;;;;;;;;;;;
fisica;46;6;2836.4;puntarenas;;;;;;;;;;;
virtual;69;1;965.57;limon;;;;;;;;;;;
virtual;34;4;891.14;san jose;;;;;;;;;;;
virtual;67;7;943.49;limon;;;;;;;;;;;
fisica;55;3;179.64;puntarenas;;;;;;;;;;;
virtual;51;4;1670.3;puntarenas;;;;;;;;;;;
virtual;32;4;65.29;puntarenas;;;;;;;;;;;
virtual;59;2;315.48;san jose;;;;;;;;;;;
fisica;47;3;226.62;cartago;;;;;;;;;;;
fisica;57;8;462.21;cartago;;;;;;;;;;;
virtual;67;7;730.65;limon;;;;;;;;;;;
virtual;47;8;1327.9;puntarenas;;;;;;;;;;;
fisica;40;7;9.6;cartago;;;;;;;;;;;
virtual;34;3;828.51;san jose;;;;;;;;;;;
virtual;30;5;1665.1;puntarenas;;;;;;;;;;;
fisica;43;3;650.78;puntarenas;;;;;;;;;;;
fisica;36;3;1189.8;limon;;;;;;;;;;;
fisica;53;6;334.17;cartago;;;;;;;;;;;
virtual;24;5;333.82;puntarenas;;;;;;;;;;;
virtual;24;5;1706.2;san jose;;;;;;;;;;;
virtual;47;4;321.09;limon;;;;;;;;;;;
virtual;30;3;509.25;limon;;;;;;;;;;;
virtual;62;8;892.98;limon;;;;;;;;;;;
virtual;27;3;939.82;puntarenas;;;;;;;;;;;
virtual;43;1;333.98;puntarenas;;;;;;;;;;;
fisica;62;7;175.54;cartago;;;;;;;;;;;
fisica;43;2;411.98;cartago;;;;;;;;;;;
virtual;39;8;226.3;san jose;;;;;;;;;;;
fisica;46;8;1971.9;puntarenas;;;;;;;;;;;
fisica;70;4;21.66;cartago;;;;;;;;;;;
virtual;57;2;94.37;san jose;;;;;;;;;;;
fisica;26;5;1605.6;puntarenas;;;;;;;;;;;
fisica;43;4;1438.5;puntarenas;;;;;;;;;;;
fisica;62;2;235.97;cartago;;;;;;;;;;;
virtual;33;7;1182.5;puntarenas;;;;;;;;;;;
virtual;28;3;783.84;puntarenas;;;;;;;;;;;
fisica;22;6;2660.2;limon;;;;;;;;;;;
fisica;40;3;312.23;puntarenas;;;;;;;;;;;
fisica;58;7;2586.8;puntarenas;;;;;;;;;;;
virtual;31;6;693.82;san jose;;;;;;;;;;;
fisica;45;7;633.74;puntarenas;;;;;;;;;;;
virtual;33;4;1478.4;puntarenas;;;;;;;;;;;
virtual;41;7;57.33;san jose;;;;;;;;;;;
fisica;77;3;235.2;cartago;;;;;;;;;;;
fisica;27;2;2718.1;limon;;;;;;;;;;;
virtual;37;5;808.75;limon;;;;;;;;;;;
fisica;51;3;1363.8;puntarenas;;;;;;;;;;;
fisica;60;3;1396.9;puntarenas;;;;;;;;;;;
fisica;44;6;2318.7;puntarenas;;;;;;;;;;;
virtual;29;7;381.64;limon;;;;;;;;;;;
fisica;63;6;224.31;cartago;;;;;;;;;;;
fisica;37;4;2626.9;puntarenas;;;;;;;;;;;
fisica;34;4;272.95;cartago;;;;;;;;;;;
fisica;73;3;492.81;san jose;;;;;;;;;;;
fisica;57;7;259.92;cartago;;;;;;;;;;;
fisica;59;6;1390;limon;;;;;;;;;;;
virtual;44;8;730.85;san jose;;;;;;;;;;;
fisica;49;2;332.1;cartago;;;;;;;;;;;
fisica;54;6;405.74;cartago;;;;;;;;;;;
fisica;72;4;432.54;cartago;;;;;;;;;;;
fisica;57;3;568.47;puntarenas;;;;;;;;;;;
fisica;57;4;708.22;puntarenas;;;;;;;;;;;
virtual;46;6;1258.6;puntarenas;;;;;;;;;;;
virtual;69;5;555.94;san jose;;;;;;;;;;;
fisica;32;1;20.43;cartago;;;;;;;;;;;
virtual;25;3;1674.1;puntarenas;;;;;;;;;;;
fisica;56;3;104.56;san jose;;;;;;;;;;;
fisica;57;5;1508.6;puntarenas;;;;;;;;;;;
virtual;38;4;1800.3;puntarenas;;;;;;;;;;;
fisica;34;3;483.7;cartago;;;;;;;;;;;
virtual;24;2;176.31;puntarenas;;;;;;;;;;;
fisica;38;1;1894.4;puntarenas;;;;;;;;;;;
virtual;30;6;983.83;limon;;;;;;;;;;;
virtual;51;5;928.45;puntarenas;;;;;;;;;;;
fisica;24;7;2511.5;puntarenas;;;;;;;;;;;
virtual;55;4;202.61;san jose;;;;;;;;;;;
virtual;31;4;1528.1;puntarenas;;;;;;;;;;;
virtual;55;4;942.03;limon;;;;;;;;;;;
virtual;71;4;404.78;limon;;;;;;;;;;;
fisica;61;3;1282.3;puntarenas;;;;;;;;;;;
virtual;52;2;851.06;puntarenas;;;;;;;;;;;
virtual;69;4;252.3;san jose;;;;;;;;;;;
virtual;67;3;704.08;limon;;;;;;;;;;;
virtual;34;1;1890.5;puntarenas;;;;;;;;;;;
virtual;73;3;487.76;limon;;;;;;;;;;;
fisica;37;5;2612;puntarenas;;;;;;;;;;;
fisica;59;7;2070.7;puntarenas;;;;;;;;;;;
fisica;45;4;105.69;cartago;;;;;;;;;;;
virtual;29;2;1967.3;san jose;;;;;;;;;;;
virtual;32;6;256.82;limon;;;;;;;;;;;
virtual;28;4;281.96;san jose;;;;;;;;;;;
fisica;78;5;491.27;cartago;;;;;;;;;;;
virtual;23;7;154.43;puntarenas;;;;;;;;;;;
virtual;48;5;160.67;puntarenas;;;;;;;;;;;
fisica;34;4;1270.3;puntarenas;;;;;;;;;;;
fisica;60;6;32.41;cartago;;;;;;;;;;;
virtual;33;4;227;limon;;;;;;;;;;;
virtual;33;1;216.31;san jose;;;;;;;;;;;
fisica;53;6;237.2;cartago;;;;;;;;;;;
fisica;60;5;2380.1;puntarenas;;;;;;;;;;;
fisica;25;1;2451.2;puntarenas;;;;;;;;;;;
fisica;33;4;824.34;puntarenas;;;;;;;;;;;
virtual;73;5;775.97;san jose;;;;;;;;;;;
virtual;53;2;456.37;limon;;;;;;;;;;;
fisica;69;8;340.68;cartago;;;;;;;;;;;
fisica;62;7;388.79;cartago;;;;;;;;;;;
virtual;30;8;1623.6;san jose;;;;;;;;;;;
fisica;77;5;99.17;cartago;;;;;;;;;;;
fisica;26;1;2410.7;puntarenas;;;;;;;;;;;
fisica;50;6;205.2;san jose;;;;;;;;;;;
fisica;35;4;927.07;san jose;;;;;;;;;;;
fisica;44;1;816.71;san jose;;;;;;;;;;;
fisica;41;2;17.63;cartago;;;;;;;;;;;
fisica;61;5;516.54;puntarenas;;;;;;;;;;;
virtual;29;6;98.33;san jose;;;;;;;;;;;
virtual;74;6;807.91;san jose;;;;;;;;;;;
virtual;33;6;841.27;san jose;;;;;;;;;;;
virtual;50;8;133.95;puntarenas;;;;;;;;;;;
virtual;63;7;940.89;limon;;;;;;;;;;;
fisica;76;4;213.4;cartago;;;;;;;;;;;
virtual;20;6;1388.8;puntarenas;;;;;;;;;;;
fisica;56;2;613.87;san jose;;;;;;;;;;;
fisica;33;2;296.26;cartago;;;;;;;;;;;
fisica;62;1;469.86;cartago;;;;;;;;;;;
fisica;52;8;991.15;puntarenas;;;;;;;;;;;
fisica;32;2;281.36;cartago;;;;;;;;;;;
virtual;47;8;694.76;san jose;;;;;;;;;;;
virtual;20;3;1162.1;puntarenas;;;;;;;;;;;
virtual;54;6;719.26;limon;;;;;;;;;;;
virtual;21;2;1405;puntarenas;;;;;;;;;;;
fisica;47;4;254.59;cartago;;;;;;;;;;;
virtual;50;7;1184.9;puntarenas;;;;;;;;;;;
virtual;29;6;998.88;puntarenas;;;;;;;;;;;
virtual;50;2;1663.9;puntarenas;;;;;;;;;;;
virtual;57;6;256.93;limon;;;;;;;;;;;
fisica;56;7;397.26;puntarenas;;;;;;;;;;;
virtual;20;6;219.8;san jose;;;;;;;;;;;
virtual;48;2;1795.1;puntarenas;;;;;;;;;;;
virtual;40;5;797.99;limon;;;;;;;;;;;
fisica;55;4;187.26;cartago;;;;;;;;;;;
fisica;73;6;209.71;cartago;;;;;;;;;;;
virtual;25;6;459.88;limon;;;;;;;;;;;
fisica;45;3;2971.6;limon;;;;;;;;;;;
virtual;63;2;845.33;san jose;;;;;;;;;;;
fisica;35;6;110.16;san jose;;;;;;;;;;;
fisica;33;7;14.77;cartago;;;;;;;;;;;
virtual;48;2;560.36;puntarenas;;;;;;;;;;;
fisica;28;2;885.92;san jose;;;;;;;;;;;
virtual;45;4;1648.2;puntarenas;;;;;;;;;;;
virtual;25;6;492.31;san jose;;;;;;;;;;;
fisica;71;4;65.45;cartago;;;;;;;;;;;
fisica;37;8;1677.5;puntarenas;;;;;;;;;;;
virtual;52;1;1573.9;puntarenas;;;;;;;;;;;
virtual;51;6;250.21;puntarenas;;;;;;;;;;;
virtual;28;2;635.51;puntarenas;;;;;;;;;;;
fisica;58;7;2353.3;limon;;;;;;;;;;;
fisica;35;1;478.53;puntarenas;;;;;;;;;;;
fisica;47;8;2734.4;limon;;;;;;;;;;;
fisica;43;2;150.11;cartago;;;;;;;;;;;
virtual;47;8;1821.6;puntarenas;;;;;;;;;;;
virtual;38;2;310.45;san jose;;;;;;;;;;;
virtual;51;7;571.34;puntarenas;;;;;;;;;;;
fisica;51;3;1682.9;puntarenas;;;;;;;;;;;
virtual;37;6;681.68;san jose;;;;;;;;;;;
fisica;75;3;225.97;cartago;;;;;;;;;;;
virtual;46;3;874.9;san jose;;;;;;;;;;;
fisica;57;1;1851.8;limon;;;;;;;;;;;
virtual;26;7;255.11;san jose;;;;;;;;;;;
fisica;32;4;63.57;cartago;;;;;;;;;;;
fisica;50;5;332.36;cartago;;;;;;;;;;;
fisica;42;2;672.91;limon;;;;;;;;;;;
virtual;51;4;637.1;limon;;;;;;;;;;;
virtual;68;8;552.3;san jose;;;;;;;;;;;
virtual;46;8;1317.2;puntarenas;;;;;;;;;;;
fisica;30;3;792.15;limon;;;;;;;;;;;
virtual;54;5;432.33;puntarenas;;;;;;;;;;;
fisica;72;3;451.34;cartago;;;;;;;;;;;
fisica;32;7;1110.9;puntarenas;;;;;;;;;;;
virtual;51;6;1537.4;puntarenas;;;;;;;;;;;
virtual;38;3;1083.1;puntarenas;;;;;;;;;;;
virtual;28;3;836.8;san jose;;;;;;;;;;;
fisica;41;3;472.66;cartago;;;;;;;;;;;
virtual;44;8;524;san jose;;;;;;;;;;;
virtual;26;1;862.74;san jose;;;;;;;;;;;
virtual;36;6;164.62;limon;;;;;;;;;;;
virtual;63;2;493.57;san jose;;;;;;;;;;;
fisica;59;5;182.89;cartago;;;;;;;;;;;
virtual;54;6;1813.1;san jose;;;;;;;;;;;
fisica;82;4;377.09;cartago;;;;;;;;;;;
fisica;25;7;1410.4;san jose;;;;;;;;;;;
fisica;48;7;2386.9;puntarenas;;;;;;;;;;;
virtual;31;3;103.24;san jose;;;;;;;;;;;
fisica;85;2;24.23;cartago;;;;;;;;;;;
virtual;50;2;1034.9;puntarenas;;;;;;;;;;;
fisica;53;3;455.21;cartago;;;;;;;;;;;
fisica;62;3;164.79;san jose;;;;;;;;;;;
fisica;25;2;517.05;san jose;;;;;;;;;;;
fisica;53;6;1578.1;puntarenas;;;;;;;;;;;
fisica;58;3;300.8;cartago;;;;;;;;;;;
fisica;43;3;2557.4;puntarenas;;;;;;;;;;;
fisica;38;1;2115.3;puntarenas;;;;;;;;;;;
fisica;73;1;239.49;cartago;;;;;;;;;;;
virtual;49;7;757.49;puntarenas;;;;;;;;;;;
fisica;37;1;392.65;cartago;;;;;;;;;;;
virtual;46;2;1918.9;puntarenas;;;;;;;;;;;
fisica;28;1;2931.7;puntarenas;;;;;;;;;;;
fisica;83;1;474.47;cartago;;;;;;;;;;;
fisica;25;6;2759.7;limon;;;;;;;;;;;
fisica;39;3;780.81;puntarenas;;;;;;;;;;;
fisica;48;6;440.69;cartago;;;;;;;;;;;
virtual;29;4;273.46;san jose;;;;;;;;;;;
virtual;43;7;106.34;san jose;;;;;;;;;;;
virtual;40;4;230.61;san jose;;;;;;;;;;;
virtual;56;3;334.58;limon;;;;;;;;;;;
virtual;73;4;624.5;limon;;;;;;;;;;;
fisica;42;4;131.32;cartago;;;;;;;;;;;
virtual;49;4;769.52;puntarenas;;;;;;;;;;;
virtual;47;5;736.45;limon;;;;;;;;;;;
fisica;60;3;1836.9;limon;;;;;;;;;;;
virtual;40;6;223.12;limon;;;;;;;;;;;
virtual;46;7;1778.2;puntarenas;;;;;;;;;;;
virtual;46;7;1961.6;puntarenas;;;;;;;;;;;
virtual;68;4;981.13;limon;;;;;;;;;;;
virtual;41;6;1043;puntarenas;;;;;;;;;;;
fisica;53;7;169.2;limon;;;;;;;;;;;
virtual;53;6;268.98;puntarenas;;;;;;;;;;;
virtual;36;4;387.03;limon;;;;;;;;;;;
fisica;26;2;2124.8;limon;;;;;;;;;;;
fisica;57;2;1490.5;puntarenas;;;;;;;;;;;
fisica;51;8;1941;puntarenas;;;;;;;;;;;
fisica;76;4;250.39;cartago;;;;;;;;;;;
fisica;69;8;201.21;cartago;;;;;;;;;;;
fisica;44;6;13.09;cartago;;;;;;;;;;;
fisica;71;8;138;cartago;;;;;;;;;;;
fisica;22;3;524.68;limon;;;;;;;;;;;
virtual;26;5;894.57;limon;;;;;;;;;;;
fisica;40;4;2921.8;limon;;;;;;;;;;;
fisica;25;2;913.88;san jose;;;;;;;;;;;
fisica;53;7;847.97;san jose;;;;;;;;;;;
fisica;43;4;877.16;san jose;;;;;;;;;;;
fisica;51;5;40.15;cartago;;;;;;;;;;;
fisica;43;5;280.51;cartago;;;;;;;;;;;
fisica;19;3;394.7;puntarenas;;;;;;;;;;;
